,VaR 5% (%),CVaR 5% (%),Ratio Sortino,Drawdown Máximo (%)
Grupo Galicia,-4.872671772534886,-7.221351939167726,2.642471662861852,-51.75470142688793
YPF,-4.922221961519826,-6.801756703688882,1.652317697142143,-48.79426391506785
Globant,-4.40382010243801,-7.936981959886406,-1.0973777857751639,-77.73238899015648
S&P 500 ETF,-1.4901392505476239,-2.3338332993759496,2.052335532053194,-18.755230403972245
Emerging Markets ETF,-1.6004118646044871,-2.239216969113809,2.0731922973915373,-17.29243350333167
