,Grupo Galicia,YPF,Apple,Microsoft,S&P 500 ETF
Grupo Galicia,1.0,0.6863113978731736,0.19383735949297923,0.16912679922228296,0.31711139561552587
YPF,0.6863113978731736,1.0,0.21415641715028222,0.13474572169499674,0.32915744011338677
Apple,0.19383735949297923,0.21415641715028222,1.0,0.4660428410837274,0.6915012020953141
Microsoft,0.16912679922228296,0.13474572169499674,0.4660428410837274,1.0,0.6825384108517797
S&P 500 ETF,0.31711139561552587,0.32915744011338677,0.6915012020953141,0.6825384108517797,1.0
