,Rendimiento Total (%),Volatilidad Anualizada (%),Ratio Sharpe,VaR 5% (%),Ratio Sortino,P/E Ratio,Beta
Grupo Galicia,348.9513559827873,59.758614026820766,1.6493425685707233,-4.872671772534886,2.642471662861852,4.5971346,0.516
YPF,101.7543782772595,58.89754655993762,0.9214334050571387,-4.922221961519826,1.652317697142143,7.822581,0.428
Globant,-69.40154406483173,51.08228141616299,-0.9745815453800449,-4.40382010243801,-1.0973777857751639,24.636734,1.168
S&P 500 ETF,58.80666628573936,16.629144400635095,1.5774764143673214,-1.4901392505476239,2.052335532053194,28.360369,
Emerging Markets ETF,51.72504217350831,16.88066933581954,1.4115971703663877,-1.6004118646044871,2.0731922973915373,15.079453,
