Date,Grupo Galicia,YPF,Apple,Microsoft,S&P 500 ETF
2023-01-04,0.025418866290027875,0.0,0.010314321641566648,-0.04374315164657949,0.007720103663955147
2023-01-05,0.07437691859129081,0.07347879914118938,-0.010604750474622504,-0.02963771108969837,-0.011413287521045645
2023-01-06,0.037604584679551856,0.010695125531074101,0.036794166373223636,0.01178529119787286,0.022931998810209686
2023-01-09,0.010469892542625647,0.031746052570364336,0.004088931377425498,0.009736584343149834,-0.000566877148015732
2023-01-10,0.011423876494425667,-0.0030768956893529875,0.004456127710622759,0.007617111623570816,0.007012860801609344
2023-01-11,0.07985303186152426,0.015432059095624284,0.021112593316817252,0.030238051221254114,0.012647891277927759
2023-01-12,0.07467755530091247,0.04863226965310696,-0.0005992995961277003,0.011621440391098137,0.0036407592165821345
2023-01-13,0.034404638466436044,0.07053135413823686,0.01011904216484072,0.0030187186052774706,0.003879372487378685
2023-01-17,0.08205700984427056,0.10288811833686773,0.008756421228206968,0.004681782279197799,-0.001831788136913981
2023-01-18,-0.112234575770772,-0.08265140808604987,-0.005369907821989317,-0.018889138540960193,-0.01578796965879392
2023-01-19,0.03747171672874128,0.000892081074737261,0.0004435852491653236,-0.016454064433452098,-0.007279905102579809
2023-01-20,0.08925206366861493,0.062388573316006335,0.019220825810065012,0.03574373099780259,0.01862916648883961
2023-01-23,-0.007861166072221759,0.0050335122112714625,0.023500548609888927,0.009824382596333114,0.011998493591768078
2023-01-24,-0.01665993340685812,0.001669487356252386,0.010062969498234375,-0.0022262133634258774,-0.0010732714790587794
2023-01-25,0.04731402165515863,0.006666660308837891,-0.004700930187061192,-0.005908085931953022,0.00037475146416454663
2023-01-26,0.006115581134171766,-0.004966843238520147,0.014803477840487522,0.030713645973199144,0.010990304704761034
2023-01-27,-0.03245081305807218,-0.0399334839958857,0.013684309189071042,0.000645156381568146,0.0022978407319993455
2023-01-30,-0.05177847445054562,-0.0337955237965295,-0.02007811537382409,-0.02196158063456155,-0.012546963136956135
2023-01-31,0.04723242547767592,0.07174889848474408,0.009020793142448635,0.021012666621176734,0.014703566432102022
2023-02-01,-0.020408154022197422,-0.016736385979694512,0.007901075425644555,0.01993463318116473,0.010627776751586548
2023-02-02,0.0,-0.023829764508186524,0.037062336972800036,0.04688414784142636,0.014556878143801244
2023-02-03,-0.0520833477817082,-0.025283343949576875,0.02440010341983112,-0.023620367804478182,-0.010629051561202418
2023-02-06,0.0032966327245649296,0.026833562510875986,-0.017929090089638944,-0.0061158987593334935,-0.006111437060903335
2023-02-07,0.018619834088660525,0.005226517596621072,0.019244837099881007,0.04202192463028753,0.013078583182838388
2023-02-08,0.017204439464298282,0.0008665709631623386,-0.01765265266066529,-0.003101866412020593,-0.010934688439982132
2023-02-09,-0.006342515545450289,-0.023376662623803224,-0.0069115505683164935,-0.011659714764661211,-0.008669269986233186
2023-02-10,0.005319166517534724,0.02659576221956539,0.0024561247322028024,-0.0019726985804354724,0.00233369661026539
2023-02-13,0.055026479380589466,0.038860087411910715,0.018806798829408056,0.031242905899884876,0.011739060448500815
2023-02-14,0.041123355970238196,0.004987566163634494,-0.004224882236554484,0.0031330240274376475,-0.00046020372564126166
2023-02-15,-0.022639623399634434,-0.0173697299831731,0.013903338616588545,-0.007993107903977226,0.0032474565911386755
2023-02-16,0.015278438397875682,0.000841770099789807,-0.010429539509963948,-0.026622297518495985,-0.013768752128512585
2023-02-17,-0.03592251801720758,-0.0403700994155316,-0.007546581125747132,-0.01560209738481988,-0.0024983119880288562
2023-02-22,-0.022960624965731258,-0.0035056934608197476,-0.023860962433609134,-0.025381758648604813,-0.021411408365481832
2023-02-23,0.02453107558299128,0.029903267898860886,0.0032904330914662605,0.012961794144760175,0.005319284126480417
2023-02-24,-0.00804831609317902,0.01451751287277081,-0.01800529781106952,-0.021784425353041592,-0.010682218247615616
2023-02-27,0.016227234095677945,0.019360230641475296,0.008247548403994331,0.003771834885634151,0.0034058260236125015
2023-02-28,-0.021157709063246433,-0.028075904917644223,-0.0034477197503536283,-0.002958124738446699,-0.0036959764870952982
2023-03-01,-0.0006116871772944288,0.028037375605060477,-0.014246206000803285,-0.012629225037073755,-0.003836059615411447
2023-03-02,-0.041012124932105265,-0.04545455978473756,0.004129321467931435,0.019653243377322216,0.007777441786262385
2023-03-03,0.012766078339620401,0.03290044226542488,0.035090219786142685,0.016645911390177348,0.0160377423047402
2023-03-06,0.02678556650642494,0.06538136739466727,0.01853924566925036,0.006189221328626315,0.0006927662934974599
2023-03-07,-0.02567769864250269,-0.07159715536435052,-0.014496535336792626,-0.01058918362802641,-0.015328836574087124
2023-03-08,0.039059067221323795,0.021186440335509094,0.008377355752306803,-0.0017706237670848113,0.0016322430836510637
2023-03-09,-0.013742838930859813,-0.040663880776941386,-0.014914629666033186,-0.005439323540237351,-0.01844998920461627
2023-03-10,-0.04774584864513831,-0.07871978962407333,-0.013878782879414464,-0.014782867463727922,-0.014429239041167885
2023-03-13,-0.042285372618076966,-0.06948354907267928,0.01326611595974958,0.021440870500193387,-0.0014252436103546762
2023-03-14,-0.029659670295001828,-0.013118074313075434,0.014089051033431943,0.02705598208720228,0.016530006347837967
2023-03-15,-0.054532769038505347,-0.05214716657794638,0.0026214742993251328,0.017830414405481276,-0.006254310949472264
2023-03-16,0.06612779585246975,0.026968714957357198,0.01869387756750851,0.04053632115697381,0.017545119296825895
2023-03-17,-0.030668472242249445,-0.04936977357448735,-0.005453886288047216,0.01169441906935309,-0.011692658565499725
