,Rendimiento Total (%),Retorno Promedio Diario (%),Volatilidad Diaria (%),Volatilidad Anualizada (%),Ratio Sharpe,Retorno Mínimo (%),Retorno Máximo (%),Drawdown Máximo (%)
Grupo Galicia,348.9513559827873,0.3911207379096151,3.7644388430681874,59.758614026820766,1.6493425685707233,-20.143884892086326,18.820218604723472,-51.75470142688793
YPF,101.7543782772595,0.21535780506442334,3.7101966911772073,58.89754655993762,0.9214334050571387,-15.342197709832938,38.21062960283419,-48.79426391506785
Globant,-69.40154406483173,-0.19755495541310505,3.2178812625948474,51.08228141616299,-0.9745815453800449,-27.810818602785115,13.42667404810085,-77.73238899015648
S&P 500 ETF,58.80666628573936,0.10409556779012012,1.047537633330064,16.629144400635095,1.5774764143673214,-5.854301689268205,10.501934425982217,-18.755230403972245
Emerging Markets ETF,51.72504217350831,0.09455835344576789,1.063382214926009,16.88066933581954,1.4115971703663877,-5.562020291402526,6.931464088792771,-17.29243350333167
